actor,pelicula
Brittany Snow,Pitch Perfect 2
Brooke Shields,The Midnight Meat Train
Brooklyn Decker,Battleship
Brooklyn Decker,Just Go with It
Bruce Boxleitner,Tron
Bruce Campbell,The Escort
Bruce Greenwood,Endless Love
Bruce Greenwood,Spectral
Bruce Willis,Cosmic Sin
Bruce Willis,Live Free or Die Hard
Bruce Willis,Looper
Bruce Willis,Moonrise Kingdom
Bruce Willis,RED
Bruno Campos,The Princess and the Frog
Bryan Cranston,Argo
Bryan Cranston,Drive
Bryan Cranston,Godzilla
Bryan Cranston,Kung Fu Panda 3
Bryan Cranston,The Infiltrator
Bryan Cranston,Total Recall
Bryan Cranston,Wakefield
Bryan Greenberg,Bride Wars
Bryce Dallas Howard,50/50
Bryce Dallas Howard,Gold
Bryce Dallas Howard,Jurassic World
Bryce Dallas Howard,Lady in the Water
Bryce Dallas Howard,Pete's Dragon
Bryce Dallas Howard,The Help
Burt Young,Rocky Balboa
Byung-hun Lee,G.I. Joe: Retaliation
Byung-hun Lee,The Age of Shadows
C.H. Evans,Twin Peaks: The Missing Pieces
Caitlyn Rund,Remember Me
Callan McAuliffe,Hacker
Callie Hernandez,Blair Witch
Callum Keith Rennie,Into the Forest
Callum Turner,Tramps
Calu Rivero,Tesis sobre un homicidio
Calum Worthy,The Thinning
Cam Gigandet,Never Back Down
Cam Gigandet,Pandorum
Cameron Diaz,Annie
Cameron Diaz,Sex Tape
Cameron Diaz,The Counselor
Cameron Diaz,The Other Woman
Cameron Diaz,What to Expect When You're Expecting
Camille Cottin,Iris
Campi,El amor después del amor
Campi,La panelista
Candice Bergen,Bride Wars
Cara Buono,Let Me In
Cara Delevingne,Paper Towns
Carey Mulligan,Drive
Carey Mulligan,Shame
Carey Mulligan,The Great Gatsby
Carice van Houten,Brimstone
Carla Gugino,San Andreas
Carla Gugino,Watchmen
Carla Peterson,10 días sin mamá
Carla Peterson,Animal
Carla Peterson,Dos más dos
Carla Peterson,El gerente
Carla Peterson,Mamá se fue de viaje
Carla Peterson,Recreo
Carla Quevedo,El secreto de sus ojos
Carla Quevedo,"Iosi, el espía arrepentido"
Carla Quevedo,Monzón
Carlos Belloso,Felicidades
Carlos Belloso,La niña santa
Carlos Belloso,La odisea de los giles
Carlos Belloso,Puerta 7
Carlos Bocca,Carancho
Carlos Cores,Guacho
Carlos Echevarría,Garage Olimpo
Carlos Hipólito,Francisco: El padre Jorge
Carlos Portaluppi,"Argentina, 1985"
Carlos Portaluppi,El Marginal
Carly Rae Jepsen,Ballerina
Carmen Ejogo,Selma
Carmen Electra,Disaster Movie
Carolina Peleritti,¿Quién dice que es fácil?
Carrie-Anne Moss,Disturbia
Cary Elwes,No Strings Attached
Cary Joji Fukunaga,Lovesong
Cary-Hiroyuki Tagawa,Hachi: A Dog's Tale
Casey Affleck,Gone Baby Gone
Casey Affleck,Manchester by the Sea
Casey Affleck,Out of the Furnace
Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford
Casey Affleck,The Finest Hours
Casey Affleck,Triple 9
Cassey Casas,Carancho
Cassie Ventura,Step Up 2: The Streets
Catalina Sandino Moreno,Custody
Cate Blanchett,Babel
Cate Blanchett,Blue Jasmine
Cate Blanchett,Carol
Cate Blanchett,Cinderella
Cate Blanchett,Hanna
Cate Blanchett,How to Train Your Dragon 2
Cate Blanchett,Indiana Jones and the Kingdom of the Crystal Skull
Cate Blanchett,Knight of Cups
Cate Blanchett,Robin Hood
Cate Blanchett,The Curious Case of Benjamin Button
Cate Blanchett,The Hobbit: The Battle of the Five Armies
Catherine Bégin,Martyrs
Catherine Keener,Captain Phillips
Catherine Keener,Into the Wild
Catherine Keener,Trust
Catherine Walker,A Dark Song
Catinca Untaru,The Fall
CCH Pounder,Orphan
Cecilia Dopazo,Caballos salvajes
Cecilia Dopazo,El gerente
Cecilia Dopazo,"No sos vos, soy yo"
Cecilia Dopazo,Tango feroz
Cecilia Rossetto,Esperando la carroza
Cecilia Roth,Cenizas del paraíso
Cecilia Roth,Crímenes de familia
Cecilia Roth,El ángel
Cecilia Roth,El prófugo
Cecilia Roth,Kamchatka
Cecilia Roth,Todo sobre mi madre
Cecilia Roth,Un lugar en el mundo
